description,inputGenes_unique,preferredNames_unique
Disseminated intravascular coagulation,"9606.ENSP00000308541, 9606.ENSP00000366307","F2, THBD"
Epithelial and subepithelial dystrophy,"9606.ENSP00000231751, 9606.ENSP00000252486, 9606.ENSP00000315130, 9606.ENSP00000352798, 9606.ENSP00000416330","APOE, CLU, COL18A1, LTF, TGFBI"
Familial hyperlipidemia,"9606.ENSP00000227667, 9606.ENSP00000233242, 9606.ENSP00000252486, 9606.ENSP00000303208, 9606.ENSP00000454071","APOB, APOC3, APOE, LDLR, PCSK9"
Familial visceral amyloidosis,"9606.ENSP00000227667, 9606.ENSP00000252486, 9606.ENSP00000261267, 9606.ENSP00000339063, 9606.ENSP00000350425, 9606.ENSP00000416066, 9606.ENSP00000494175, 9606.ENSP00000494750, 9606.ENSP00000497910, 9606.ENSP00000498441","ACTB, APOA4, APOC3, APOE, B2M, EEF1A1, FGA, HBB, LYZ, SERPINA1"
Frontotemporal dementia,"9606.ENSP00000270142, 9606.ENSP00000284981, 9606.ENSP00000500990","APP, SNCA, SOD1"
Gastrointestinal system cancer,"9606.ENSP00000216492, 9606.ENSP00000221930, 9606.ENSP00000233146, 9606.ENSP00000252242, 9606.ENSP00000256078, 9606.ENSP00000275493, 9606.ENSP00000296591, 9606.ENSP00000317272, 9606.ENSP00000326581, 9606.ENSP00000329243, 9606.ENSP00000350195, 9606.ENSP00000357721, 9606.ENSP00000358001, 9606.ENSP00000360281, 9606.ENSP00000363667, 9606.ENSP00000380070, 9606.ENSP00000381185, 9606.ENSP00000384849, 9606.ENSP00000478255, 9606.ENSP00000486891, 9606.ENSP00000494750","ABCB1, ACTB, BCL2, C8B, CDKN1A, CHGA, EDIL3, EGFR, GAPDH, KRAS, KRT5, KRT7, MAP3K6, MET, MSH2, PEG3, PTPN3, S100A8, TACC2, TCF7L2, TGFB1"
Gastrointestinal system disease,"9606.ENSP00000173229, 9606.ENSP00000216336, 9606.ENSP00000216492, 9606.ENSP00000221930, 9606.ENSP00000225964, 9606.ENSP00000227163, 9606.ENSP00000231449, 9606.ENSP00000231751, 9606.ENSP00000233146, 9606.ENSP00000248633, 9606.ENSP00000252242, 9606.ENSP00000254436, 9606.ENSP00000256078, 9606.ENSP00000256646, 9606.ENSP00000258411, 9606.ENSP00000261170, 9606.ENSP00000261890, 9606.ENSP00000262158, 9606.ENSP00000262189, 9606.ENSP00000262262, 9606.ENSP00000262345, 9606.ENSP00000263341, 9606.ENSP00000265074, 9606.ENSP00000265734, 9606.ENSP00000273784, 9606.ENSP00000275493, 9606.ENSP00000284268, 9606.ENSP00000287842, 9606.ENSP00000295095, 9606.ENSP00000296456, 9606.ENSP00000296591, 9606.ENSP00000297261, 9606.ENSP00000298910, 9606.ENSP00000301244, 9606.ENSP00000301945, 9606.ENSP00000307199, 9606.ENSP00000307900, 9606.ENSP00000308541, 9606.ENSP00000309572, 9606.ENSP00000312987, 9606.ENSP00000317272, 9606.ENSP00000319623, 9606.ENSP00000323696, 9606.ENSP00000326581, 9606.ENSP00000327246, 9606.ENSP00000329243, 9606.ENSP00000339398, 9606.ENSP00000344503, 9606.ENSP00000345001, 9606.ENSP00000350195, 9606.ENSP00000353099, 9606.ENSP00000353452, 9606.ENSP00000353720, 9606.ENSP00000354360, 9606.ENSP00000355245, 9606.ENSP00000355893, 9606.ENSP00000356946, 9606.ENSP00000357721, 9606.ENSP00000358001, 9606.ENSP00000359211, 9606.ENSP00000360281, 9606.ENSP00000360431, 9606.ENSP00000361214, 9606.ENSP00000361405, 9606.ENSP00000361467, 9606.ENSP00000362410, 9606.ENSP00000363458, 9606.ENSP00000363667, 9606.ENSP00000365380, 9606.ENSP00000366416, 9606.ENSP00000371067, 9606.ENSP00000371517, 9606.ENSP00000376178, 9606.ENSP00000379258, 9606.ENSP00000380070, 9606.ENSP00000380877, 9606.ENSP00000381185, 9606.ENSP00000381492, 9606.ENSP00000382492, 9606.ENSP00000384849, 9606.ENSP00000386559, 9606.ENSP00000389870, 9606.ENSP00000392700, 9606.ENSP00000402760, 9606.ENSP00000405330, 9606.ENSP00000406220, 9606.ENSP00000406861, 9606.ENSP00000412237, 9606.ENSP00000416066, 9606.ENSP00000418525, 9606.ENSP00000429633, 9606.ENSP00000431840, 9606.ENSP00000444736, 9606.ENSP00000454071, 9606.ENSP00000478255, 9606.ENSP00000484525, 9606.ENSP00000486891, 9606.ENSP00000487174, 9606.ENSP00000494061, 9606.ENSP00000494750, 9606.ENSP00000500990","ABCB1, ACTB, AHSG, AHSP, AMACR, AMER3, ANKH, ANTXR1, APEH, ARHGAP15, ASCC2, BCL2, C8B, CD33, CD8A, CDK6, CDKN1A, CES1, CHGA, COL1A1, CRTAP, CRTC1, CTDP1, CTSG, DLG5, DLX3, DPYD, EDIL3, EDNRB, EGFR, ESR1, F2, FCGR3A, FOXP3, GAPDH, GLI3, GLUL, GUCY2C, HLA-DQA1, HLA-DRB1, HNF4A, IGDCC4, IL10, IL12RB2, IL1B, IL4, JAK2, KMT2C, KRAS, KRT5, KRT7, LAMC3, LAT2, LDLR, LDLRAP1, LRRK2, LTF, MAFB, MAP3K6, MET, MME, MMP9, MSH2, MUC2, MUC6, MYBL1, MYLK, NOTCH2, NPR3, NRG1, NRG3, NTN1, PAX9, PEG3, PEX1, PLCE1, PTPN3, RAB11A, RADIL, S100A8, SERPINA1, SHH, SLC13A5, SLC22A5, SLC24A4, SLC30A10, SMAD7, SNCA, SPI1, SPINT2, STX2, TACC2, TAS2R30, TCF7L2, TERT, TGFB1, TMEM201, TRIM21, VIPR1, WNT10A, ZEB2"
Gelatinous drop-like corneal dystrophy,"9606.ENSP00000231751, 9606.ENSP00000252486, 9606.ENSP00000315130, 9606.ENSP00000416330","APOE, CLU, LTF, TGFBI"
Goodpasture syndrome,"9606.ENSP00000225275, 9606.ENSP00000352798","COL18A1, MPO"
Hematologic cancer,"9606.ENSP00000167586, 9606.ENSP00000225275, 9606.ENSP00000227163, 9606.ENSP00000231449, 9606.ENSP00000252242, 9606.ENSP00000254066, 9606.ENSP00000256078, 9606.ENSP00000261652, 9606.ENSP00000261799, 9606.ENSP00000262262, 9606.ENSP00000263341, 9606.ENSP00000263464, 9606.ENSP00000268679, 9606.ENSP00000300060, 9606.ENSP00000314480, 9606.ENSP00000316032, 9606.ENSP00000331614, 9606.ENSP00000336752, 9606.ENSP00000350844, 9606.ENSP00000351273, 9606.ENSP00000357152, 9606.ENSP00000363330, 9606.ENSP00000371067, 9606.ENSP00000372313, 9606.ENSP00000381185, 9606.ENSP00000386559, 9606.ENSP00000386884, 9606.ENSP00000402257, 9606.ENSP00000412237, 9606.ENSP00000418525, 9606.ENSP00000442788, 9606.ENSP00000450540, 9606.ENSP00000480132, 9606.ENSP00000494750, 9606.ENSP00000497910, 9606.ENSP00000498321","ACTB, ANPEP, B2M, BCL2, BIRC3, CASP8, CBFA2T3, CD1C, CD33, CD52, CD8A, CXCR4, FIP1L1, IKZF1, IL10, IL1B, IL4, JAK2, KRAS, KRT14, KRT5, MME, MPO, MSLN, MYD88, NCAM1, NUP98, PAX5, PDGFRB, RARA, RUNX1T1, SERPINA3, SPI1, TET2, TNFRSF13B, UNCX"
Hematopoietic system disease,"9606.ENSP00000167586, 9606.ENSP00000215727, 9606.ENSP00000217289, 9606.ENSP00000225275, 9606.ENSP00000227163, 9606.ENSP00000228606, 9606.ENSP00000229270, 9606.ENSP00000231449, 9606.ENSP00000251595, 9606.ENSP00000252242, 9606.ENSP00000254066, 9606.ENSP00000256078, 9606.ENSP00000259469, 9606.ENSP00000261652, 9606.ENSP00000261799, 9606.ENSP00000262262, 9606.ENSP00000263341, 9606.ENSP00000263464, 9606.ENSP00000263734, 9606.ENSP00000264690, 9606.ENSP00000264870, 9606.ENSP00000265709, 9606.ENSP00000268679, 9606.ENSP00000269097, 9606.ENSP00000272317, 9606.ENSP00000279227, 9606.ENSP00000280772, 9606.ENSP00000281513, 9606.ENSP00000287239, 9606.ENSP00000289902, 9606.ENSP00000290401, 9606.ENSP00000294339, 9606.ENSP00000294413, 9606.ENSP00000296029, 9606.ENSP00000296435, 9606.ENSP00000298125, 9606.ENSP00000299155, 9606.ENSP00000300060, 9606.ENSP00000302324, 9606.ENSP00000303942, 9606.ENSP00000306099, 9606.ENSP00000307199, 9606.ENSP00000308541, 9606.ENSP00000308782, 9606.ENSP00000309334, 9606.ENSP00000314480, 9606.ENSP00000316032, 9606.ENSP00000318646, 9606.ENSP00000319141, 9606.ENSP00000321853, 9606.ENSP00000322421, 9606.ENSP00000331614, 9606.ENSP00000336752, 9606.ENSP00000339787, 9606.ENSP00000339824, 9606.ENSP00000344782, 9606.ENSP00000345259, 9606.ENSP00000348849, 9606.ENSP00000349252, 9606.ENSP00000349588, 9606.ENSP00000349629, 9606.ENSP00000350844, 9606.ENSP00000351273, 9606.ENSP00000354468, 9606.ENSP00000356382, 9606.ENSP00000356771, 9606.ENSP00000357152, 9606.ENSP00000359345, 9606.ENSP00000362413, 9606.ENSP00000362563, 9606.ENSP00000363330, 9606.ENSP00000366307, 9606.ENSP00000370588, 9606.ENSP00000371067, 9606.ENSP00000371638, 9606.ENSP00000372313, 9606.ENSP00000376506, 9606.ENSP00000376840, 9606.ENSP00000377192, 9606.ENSP00000377783, 9606.ENSP00000379339, 9606.ENSP00000381185, 9606.ENSP00000383382, 9606.ENSP00000384957, 9606.ENSP00000386559, 9606.ENSP00000386717, 9606.ENSP00000386884, 9606.ENSP00000390410, 9606.ENSP00000402257, 9606.ENSP00000409126, 9606.ENSP00000412237, 9606.ENSP00000414321, 9606.ENSP00000415743, 9606.ENSP00000415941, 9606.ENSP00000416293, 9606.ENSP00000418525, 9606.ENSP00000442788, 9606.ENSP00000447001, 9606.ENSP00000450540, 9606.ENSP00000463784, 9606.ENSP00000464342, 9606.ENSP00000464813, 9606.ENSP00000465630, 9606.ENSP00000466010, 9606.ENSP00000470972, 9606.ENSP00000472469, 9606.ENSP00000476480, 9606.ENSP00000480132, 9606.ENSP00000481646, 9606.ENSP00000493985, 9606.ENSP00000494175, 9606.ENSP00000494697, 9606.ENSP00000494750, 9606.ENSP00000495273, 9606.ENSP00000495672, 9606.ENSP00000496166, 9606.ENSP00000496168, 9606.ENSP00000496250, 9606.ENSP00000497574, 9606.ENSP00000497910, 9606.ENSP00000498019, 9606.ENSP00000498321, 9606.ENSP00000498441, 9606.ENSP00000499044","ACSL4, ACTB, AHSP, ALDOA, AMN, ANK1, ANK2, ANK3, ANO6, ANPEP, B2M, BCL11A, BCL2, BIRC3, BPGM, C4B, CAMP, CASP8, CBFA2T3, CD1C, CD33, CD36, CD52, CD8A, CD99, CXCR4, CYB5R3, CYBRD1, CYP27B1, EPAS1, EPB41, EVPL, F11, F13A1, F13B, F2, F5, FCER1G, FERMT1, FERMT3, FGA, FGB, FGFR3, FIP1L1, G6PC3, G6PD, GCLC, GFI1B, GP1BB, GP6, GP9, GPR141, HBA1, HBA2, HBB, IKZF1, IL10, IL1B, IL4, ITGAL, JAK2, KAT6B, KLKB1, KNG1, KRAS, KRT14, KRT5, LRBA, MME, MPO, MSLN, MYD88, NBAS, NCAM1, NPTN, NT5C3A, NUP98, PAX5, PDCD10, PDGFRB, PF4, PGK1, PROS1, RARA, RHCE, RNASE3, RPL11, RPL15, RPL18, RPL26, RPL27, RPL31, RPL35, RPL35A, RPL36, RPL5, RPL9, RPS10, RPS15, RPS15A, RPS17, RPS19, RPS24, RPS26, RPS27, RPS27A, RPS28, RPS29, RPS7, RUNX1T1, SERPINA3, SERPIND1, SERPINF2, SLC2A1, SMARCA2, SPI1, TAL1, TET2, THBD, TNFRSF13B, TPI1, UNCX, WDFY2, ZBTB43"
Hemolytic anemia,"9606.ENSP00000251595, 9606.ENSP00000264690, 9606.ENSP00000265709, 9606.ENSP00000280772, 9606.ENSP00000322421, 9606.ENSP00000345259, 9606.ENSP00000349588, 9606.ENSP00000354468, 9606.ENSP00000362413, 9606.ENSP00000371638, 9606.ENSP00000377192, 9606.ENSP00000416293, 9606.ENSP00000476480, 9606.ENSP00000494175, 9606.ENSP00000496166, 9606.ENSP00000496168, 9606.ENSP00000497574","ALDOA, ANK1, ANK2, ANK3, BCL11A, CYB5R3, EPB41, G6PD, GCLC, HBA1, HBA2, HBB, KLKB1, NT5C3A, PGK1, SLC2A1, SMARCA2"
Hepatobiliary disease,"9606.ENSP00000231449, 9606.ENSP00000262345, 9606.ENSP00000273784, 9606.ENSP00000275493, 9606.ENSP00000308541, 9606.ENSP00000326581, 9606.ENSP00000380070, 9606.ENSP00000381185, 9606.ENSP00000412237, 9606.ENSP00000416066, 9606.ENSP00000454071","AHSG, BCL2, EGFR, F2, GAPDH, IL10, IL12RB2, IL4, LDLR, PEG3, SERPINA1"
Hepatobiliary system cancer,"9606.ENSP00000256078, 9606.ENSP00000275493, 9606.ENSP00000317272, 9606.ENSP00000329243, 9606.ENSP00000363667, 9606.ENSP00000380070, 9606.ENSP00000381185, 9606.ENSP00000478255, 9606.ENSP00000494750","ABCB1, ACTB, BCL2, EGFR, GAPDH, KRAS, KRT7, MET, PTPN3"
ITM2B-related cerebral amyloid angiopathy 1,"9606.ENSP00000252486, 9606.ENSP00000381448, 9606.ENSP00000450540","APOE, CST3, SERPINA3"
ITM2B-related cerebral amyloid angiopathy 2,"9606.ENSP00000252486, 9606.ENSP00000284981, 9606.ENSP00000315130, 9606.ENSP00000381448, 9606.ENSP00000450540","APOE, APP, CLU, CST3, SERPINA3"
Immune system disease,"9606.ENSP00000167586, 9606.ENSP00000205948, 9606.ENSP00000215754, 9606.ENSP00000216274, 9606.ENSP00000217289, 9606.ENSP00000219596, 9606.ENSP00000224337, 9606.ENSP00000225275, 9606.ENSP00000225655, 9606.ENSP00000228606, 9606.ENSP00000231449, 9606.ENSP00000245907, 9606.ENSP00000249071, 9606.ENSP00000250092, 9606.ENSP00000252242, 9606.ENSP00000252486, 9606.ENSP00000252804, 9606.ENSP00000254250, 9606.ENSP00000254436, 9606.ENSP00000255476, 9606.ENSP00000256078, 9606.ENSP00000257787, 9606.ENSP00000259089, 9606.ENSP00000259206, 9606.ENSP00000261623, 9606.ENSP00000261652, 9606.ENSP00000262262, 9606.ENSP00000262345, 9606.ENSP00000263341, 9606.ENSP00000263408, 9606.ENSP00000263464, 9606.ENSP00000264690, 9606.ENSP00000271450, 9606.ENSP00000279227, 9606.ENSP00000281834, 9606.ENSP00000285379, 9606.ENSP00000294339, 9606.ENSP00000300692, 9606.ENSP00000302079, 9606.ENSP00000302324, 9606.ENSP00000306157, 9606.ENSP00000307959, 9606.ENSP00000308541, 9606.ENSP00000320509, 9606.ENSP00000322421, 9606.ENSP00000324532, 9606.ENSP00000324890, 9606.ENSP00000330959, 9606.ENSP00000331614, 9606.ENSP00000331791, 9606.ENSP00000338413, 9606.ENSP00000339398, 9606.ENSP00000341815, 9606.ENSP00000344786, 9606.ENSP00000345001, 9606.ENSP00000346839, 9606.ENSP00000347197, 9606.ENSP00000348472, 9606.ENSP00000348888, 9606.ENSP00000349252, 9606.ENSP00000349629, 9606.ENSP00000350844, 9606.ENSP00000351273, 9606.ENSP00000352798, 9606.ENSP00000353099, 9606.ENSP00000353408, 9606.ENSP00000354532, 9606.ENSP00000355893, 9606.ENSP00000356505, 9606.ENSP00000356713, 9606.ENSP00000356946, 9606.ENSP00000357152, 9606.ENSP00000358092, 9606.ENSP00000358501, 9606.ENSP00000363330, 9606.ENSP00000364114, 9606.ENSP00000364163, 9606.ENSP00000365380, 9606.ENSP00000365402, 9606.ENSP00000366091, 9606.ENSP00000366307, 9606.ENSP00000367851, 9606.ENSP00000368632, 9606.ENSP00000369129, 9606.ENSP00000370034, 9606.ENSP00000370588, 9606.ENSP00000371067, 9606.ENSP00000371425, 9606.ENSP00000372313, 9606.ENSP00000374443, 9606.ENSP00000375653, 9606.ENSP00000376708, 9606.ENSP00000377862, 9606.ENSP00000378131, 9606.ENSP00000378786, 9606.ENSP00000379140, 9606.ENSP00000381185, 9606.ENSP00000386380, 9606.ENSP00000386444, 9606.ENSP00000386559, 9606.ENSP00000386884, 9606.ENSP00000387209, 9606.ENSP00000389631, 9606.ENSP00000393566, 9606.ENSP00000398568, 9606.ENSP00000398890, 9606.ENSP00000399168, 9606.ENSP00000403495, 9606.ENSP00000408146, 9606.ENSP00000412237, 9606.ENSP00000415941, 9606.ENSP00000418525, 9606.ENSP00000429633, 9606.ENSP00000433277, 9606.ENSP00000438804, 9606.ENSP00000440066, 9606.ENSP00000441235, 9606.ENSP00000442046, 9606.ENSP00000442788, 9606.ENSP00000454623, 9606.ENSP00000457421, 9606.ENSP00000478255, 9606.ENSP00000480132, 9606.ENSP00000481570, 9606.ENSP00000482169, 9606.ENSP00000482457, 9606.ENSP00000484824, 9606.ENSP00000485010, 9606.ENSP00000493985, 9606.ENSP00000494750, 9606.ENSP00000497910, 9606.ENSP00000498321","ABCB1, ACTB, AKIRIN2, APOE, APOH, ARPC1B, B2M, BANK1, BCL2, BIRC3, BLK, BLNK, C3, C3AR1, C4B, C5AR1, C9, CA2, CASP8, CD1C, CD28, CD33, CD3D, CD52, CD58, CD68, CD8A, CD99, CEP19, CFI, CIITA, COL18A1, CRTC1, CXCL12, CXCR4, CYBA, CYBB, CYP27B1, DSP, DST, F2, FAT4, FCGR2A, FCGR3A, FERMT1, FERMT3, FN1, FOXP3, GATA3, HBA1, HLA-B, HLA-C, HLA-DMB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DRA, HLA-DRB1, HLA-DRB5, HNF1A, IFNGR1, IFNGR2, IKZF1, IL10, IL12RB2, IL1B, IL1R1, IL1R2, IL1RN, IL4, IL7R, ITGAL, ITGAX, JAK2, JCHAIN, KLKB1, KNG1, KRAS, KRT14, KRT5, LAMA3, LRBA, LTA, LYST, MEFV, MIF, MME, MOG, MPO, MS4A1, MSLN, MSN, MUC1, MYBL1, MYD88, NCAM1, NCF2, NEFL, NFASC, NLRP12, NOTCH4, PAX5, PECAM1, PFN1, PIGR, PLCG2, PNP, PRDM1, PRF1, PXDN, PXK, RAC2, RFXAP, RIPK3, RNASE3, SAG, SLC30A10, SOX18, TAL1, TBX1, TET2, THAP1, THBD, TLR7, TMTC1, TNFAIP3, TNFRSF13B, TNFSF4, TRIM21, TSHR, UBA1, VWA2"
In situ carcinoma,"9606.ENSP00000215727, 9606.ENSP00000275493, 9606.ENSP00000312631, 9606.ENSP00000405330","EGFR, ESR1, INSM1, SERPIND1"
Inherited metabolic disorder,"9606.ENSP00000167586, 9606.ENSP00000219596, 9606.ENSP00000227667, 9606.ENSP00000229270, 9606.ENSP00000233242, 9606.ENSP00000241052, 9606.ENSP00000245907, 9606.ENSP00000248633, 9606.ENSP00000252242, 9606.ENSP00000252486, 9606.ENSP00000257264, 9606.ENSP00000258145, 9606.ENSP00000258415, 9606.ENSP00000259089, 9606.ENSP00000260361, 9606.ENSP00000261024, 9606.ENSP00000261267, 9606.ENSP00000261292, 9606.ENSP00000261867, 9606.ENSP00000263341, 9606.ENSP00000263408, 9606.ENSP00000263578, 9606.ENSP00000264170, 9606.ENSP00000265404, 9606.ENSP00000265970, 9606.ENSP00000268053, 9606.ENSP00000269097, 9606.ENSP00000269228, 9606.ENSP00000274276, 9606.ENSP00000279263, 9606.ENSP00000284981, 9606.ENSP00000299697, 9606.ENSP00000301305, 9606.ENSP00000302620, 9606.ENSP00000303208, 9606.ENSP00000303356, 9606.ENSP00000303830, 9606.ENSP00000312150, 9606.ENSP00000312987, 9606.ENSP00000313391, 9606.ENSP00000313504, 9606.ENSP00000315130, 9606.ENSP00000320017, 9606.ENSP00000322421, 9606.ENSP00000326305, 9606.ENSP00000337354, 9606.ENSP00000337445, 9606.ENSP00000339063, 9606.ENSP00000339398, 9606.ENSP00000349016, 9606.ENSP00000350425, 9606.ENSP00000350815, 9606.ENSP00000355837, 9606.ENSP00000355893, 9606.ENSP00000356972, 9606.ENSP00000359211, 9606.ENSP00000359621, 9606.ENSP00000359871, 9606.ENSP00000360316, 9606.ENSP00000360645, 9606.ENSP00000360938, 9606.ENSP00000362413, 9606.ENSP00000362924, 9606.ENSP00000365380, 9606.ENSP00000366641, 9606.ENSP00000367123, 9606.ENSP00000370736, 9606.ENSP00000371420, 9606.ENSP00000376637, 9606.ENSP00000377192, 9606.ENSP00000380666, 9606.ENSP00000381448, 9606.ENSP00000384015, 9606.ENSP00000387654, 9606.ENSP00000408411, 9606.ENSP00000416066, 9606.ENSP00000420194, 9606.ENSP00000428564, 9606.ENSP00000438804, 9606.ENSP00000441858, 9606.ENSP00000442046, 9606.ENSP00000450540, 9606.ENSP00000451206, 9606.ENSP00000454071, 9606.ENSP00000458162, 9606.ENSP00000476176, 9606.ENSP00000477796, 9606.ENSP00000478255, 9606.ENSP00000480291, 9606.ENSP00000486891, 9606.ENSP00000494175, 9606.ENSP00000494750, 9606.ENSP00000495385, 9606.ENSP00000496166, 9606.ENSP00000497910, 9606.ENSP00000498321, 9606.ENSP00000498358, 9606.ENSP00000498441, 9606.ENSP00000498786, 9606.ENSP00000498994, 9606.ENSP00000499695, 9606.ENSP00000500193, 9606.ENSP00000500990","ABCB1, ACADM, ACTB, ACTG1, AGXT, ALDOA, APOA4, APOB, APOC3, APOE, APP, B2M, BLK, BTD, C3, C9, CAPN8, CASR, CAT, CLU, CST3, CYP11A1, CYP27A1, DAB2, DCXR, DHCR24, DMXL2, DPYD, EEF1A1, ELAC2, FECH, FGA, FOXP3, FOXRED1, G6PC3, G6PD, GCH1, GNS, GPNMB, GSN, HBA1, HBB, HLA-DQA1, HMBS, HNF1A, HNF1B, HNF4A, IGF1, IL1B, INSR, KRT14, KRT5, KYNU, LAMP2, LDLR, LIPA, LIPG, LYZ, MAN1B1, MCOLN3, MEFV, MYD88, NDUFAF1, NDUFS2, NPC1, NPC2, NR3C2, OSMR, PC, PCSK9, PCYOX1, PEX1, PEX14, PGK1, PHKB, PHYHIP, PIK3C2A, SARDH, SEC24B, SERPINA1, SERPINA3, SLC19A3, SLC25A20, SLC2A5, SLC30A10, SLC30A4, SLC37A4, SLC39A4, SLC3A2, SLC40A1, SLC7A7, SNCA, STAP1, SUN1, TCF7L2, TCN1, TK2, TM7SF2, TMEM165, TMTC1, TPI1, TRIB1, UCP2"
Integumentary system disease,"9606.ENSP00000020945, 9606.ENSP00000167586, 9606.ENSP00000215754, 9606.ENSP00000217131, 9606.ENSP00000217260, 9606.ENSP00000217289, 9606.ENSP00000219281, 9606.ENSP00000219596, 9606.ENSP00000225275, 9606.ENSP00000228606, 9606.ENSP00000228918, 9606.ENSP00000231449, 9606.ENSP00000233146, 9606.ENSP00000234111, 9606.ENSP00000245907, 9606.ENSP00000246662, 9606.ENSP00000247153, 9606.ENSP00000249373, 9606.ENSP00000250092, 9606.ENSP00000252242, 9606.ENSP00000252252, 9606.ENSP00000252486, 9606.ENSP00000253413, 9606.ENSP00000254436, 9606.ENSP00000255006, 9606.ENSP00000255380, 9606.ENSP00000256078, 9606.ENSP00000258411, 9606.ENSP00000259206, 9606.ENSP00000260408, 9606.ENSP00000261590, 9606.ENSP00000261623, 9606.ENSP00000263341, 9606.ENSP00000263408, 9606.ENSP00000264012, 9606.ENSP00000264474, 9606.ENSP00000264690, 9606.ENSP00000265165, 9606.ENSP00000265843, 9606.ENSP00000267119, 9606.ENSP00000273784, 9606.ENSP00000274276, 9606.ENSP00000275493, 9606.ENSP00000278616, 9606.ENSP00000278742, 9606.ENSP00000279227, 9606.ENSP00000280904, 9606.ENSP00000287239, 9606.ENSP00000291442, 9606.ENSP00000296435, 9606.ENSP00000297261, 9606.ENSP00000300249, 9606.ENSP00000301305, 9606.ENSP00000301653, 9606.ENSP00000301945, 9606.ENSP00000307240, 9606.ENSP00000307959, 9606.ENSP00000309572, 9606.ENSP00000310861, 9606.ENSP00000311469, 9606.ENSP00000312082, 9606.ENSP00000314879, 9606.ENSP00000315190, 9606.ENSP00000324532, 9606.ENSP00000325527, 9606.ENSP00000329243, 9606.ENSP00000339001, 9606.ENSP00000339398, 9606.ENSP00000339824, 9606.ENSP00000341815, 9606.ENSP00000345001, 9606.ENSP00000346027, 9606.ENSP00000350425, 9606.ENSP00000351273, 9606.ENSP00000351807, 9606.ENSP00000352798, 9606.ENSP00000353099, 9606.ENSP00000353292, 9606.ENSP00000354826, 9606.ENSP00000356505, 9606.ENSP00000357097, 9606.ENSP00000357753, 9606.ENSP00000362285, 9606.ENSP00000362924, 9606.ENSP00000364114, 9606.ENSP00000364163, 9606.ENSP00000365402, 9606.ENSP00000366416, 9606.ENSP00000367851, 9606.ENSP00000368572, 9606.ENSP00000369129, 9606.ENSP00000369286, 9606.ENSP00000369317, 9606.ENSP00000370034, 9606.ENSP00000370744, 9606.ENSP00000370826, 9606.ENSP00000371420, 9606.ENSP00000371638, 9606.ENSP00000374443, 9606.ENSP00000376637, 9606.ENSP00000377192, 9606.ENSP00000377546, 9606.ENSP00000378786, 9606.ENSP00000381448, 9606.ENSP00000386559, 9606.ENSP00000393566, 9606.ENSP00000398890, 9606.ENSP00000399168, 9606.ENSP00000403495, 9606.ENSP00000408146, 9606.ENSP00000412237, 9606.ENSP00000416066, 9606.ENSP00000424846, 9606.ENSP00000428137, 9606.ENSP00000436423, 9606.ENSP00000441235, 9606.ENSP00000458162, 9606.ENSP00000465630, 9606.ENSP00000468002, 9606.ENSP00000468411, 9606.ENSP00000473686, 9606.ENSP00000480484, 9606.ENSP00000481570, 9606.ENSP00000482313, 9606.ENSP00000490083, 9606.ENSP00000493985, 9606.ENSP00000494750, 9606.ENSP00000497784, 9606.ENSP00000498358","ACTB, ACTG1, ADAM10, AHSG, ALOX12B, ALOXE3, ANTXR1, APOA4, APOE, ATM, ATP6AP2, ATP6V1E1, C3, C9, CALD1, CAMP, CASP8, CD68, CD8A, CDH3, CFP, CHRM3, COL18A1, CRTC1, CST3, CSTA, CTSZ, CYBA, CYBB, CYP27B1, DSC2, DSG2, DSP, DST, EDNRB, EGFR, ELN, EVPL, EXPH5, FBN1, FCER1A, FECH, FERMT1, FERMT3, FGFR3, G6PD, GNLY, GPNMB, GSN, GSTM1, HLA-B, HLA-C, HLA-DMB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DRA, HLA-DRB1, HLA-DRB5, HR, IGF1, IL10, IL1B, IL1RN, IL4, ITGA3, ITPR2, IVL, KANK2, KAT6B, KLKB1, KNG1, KRAS, KRT14, KRT15, KRT16, KRT2, KRT5, KRT6A, KRT6B, KRT7, KRT71, KRT74, KRT9, LAMA3, LEF1, LTA, LTBR, LY86, LYST, MAPRE2, MEFV, MIF, MPO, MSH2, MTRNR2L6, NCF2, NOTCH4, NR2F6, ODC1, OSMR, PSENEN, RECQL4, RIN2, RPL21, RSPO4, SAT1, SCNN1A, SERPINA1, SH3BP2, SHH, SLC29A3, SLC39A4, SLC45A4, SMARCA2, SMO, SNAI2, SOX18, ST14, TCHH, TERT, TLR7, TLR8, TNFAIP3, TRIM21, TSHR, TUBB, USB1, WNT10A"
Intestinal cancer,"9606.ENSP00000221930, 9606.ENSP00000233146, 9606.ENSP00000256078, 9606.ENSP00000262158, 9606.ENSP00000275493, 9606.ENSP00000296591, 9606.ENSP00000329243, 9606.ENSP00000360281, 9606.ENSP00000380070, 9606.ENSP00000381185, 9606.ENSP00000384849, 9606.ENSP00000386559, 9606.ENSP00000486891","BCL2, C8B, CD8A, CDKN1A, EDIL3, EGFR, GAPDH, KRAS, KRT7, MSH2, SMAD7, TCF7L2, TGFB1"
