description,inputGenes_unique,preferredNames_unique
Autoimmune disease,"9606.ENSP00000215754, 9606.ENSP00000219596, 9606.ENSP00000225275, 9606.ENSP00000228606, 9606.ENSP00000231449, 9606.ENSP00000252804, 9606.ENSP00000254436, 9606.ENSP00000259089, 9606.ENSP00000259206, 9606.ENSP00000261652, 9606.ENSP00000262345, 9606.ENSP00000263341, 9606.ENSP00000271450, 9606.ENSP00000281834, 9606.ENSP00000285379, 9606.ENSP00000306157, 9606.ENSP00000307959, 9606.ENSP00000308541, 9606.ENSP00000320509, 9606.ENSP00000324890, 9606.ENSP00000330959, 9606.ENSP00000331614, 9606.ENSP00000338413, 9606.ENSP00000339398, 9606.ENSP00000352798, 9606.ENSP00000355893, 9606.ENSP00000356505, 9606.ENSP00000356946, 9606.ENSP00000358092, 9606.ENSP00000358501, 9606.ENSP00000364163, 9606.ENSP00000365380, 9606.ENSP00000368632, 9606.ENSP00000369129, 9606.ENSP00000371067, 9606.ENSP00000378786, 9606.ENSP00000386559, 9606.ENSP00000393566, 9606.ENSP00000398890, 9606.ENSP00000412237, 9606.ENSP00000415941, 9606.ENSP00000433277, 9606.ENSP00000438804, 9606.ENSP00000441235, 9606.ENSP00000442046, 9606.ENSP00000454623, 9606.ENSP00000478255, 9606.ENSP00000481570","ABCB1, BANK1, BLK, C4B, CA2, CD28, CD58, CD8A, COL18A1, CYP27B1, DSP, DST, F2, FCGR2A, FCGR3A, FOXP3, GATA3, HLA-DMB, HLA-DPA1, HLA-DQA1, HLA-DRA, HNF1A, IKZF1, IL10, IL12RB2, IL1B, IL1R2, IL1RN, IL4, IL7R, ITGAX, JAK2, MEFV, MIF, MPO, MS4A1, NCF2, NOTCH4, PRDM1, PXDN, SLC30A10, TMTC1, TNFAIP3, TNFRSF13B, TNFSF4, TRIM21, TSHR, UBA1"
Autoimmune disease of central nervous system,"9606.ENSP00000228606, 9606.ENSP00000263341, 9606.ENSP00000306157, 9606.ENSP00000339398, 9606.ENSP00000344786, 9606.ENSP00000353099, 9606.ENSP00000366091, 9606.ENSP00000386559, 9606.ENSP00000412237, 9606.ENSP00000482169","CD8A, CYP27B1, HLA-DQA1, HLA-DRB1, IL10, IL1B, IL7R, MOG, NEFL, NFASC"
Autoimmune disease of endocrine system,"9606.ENSP00000252804, 9606.ENSP00000285379, 9606.ENSP00000339398, 9606.ENSP00000438804","CA2, HLA-DQA1, HNF1A, PXDN"
Autoimmune disease of musculoskeletal system,"9606.ENSP00000228606, 9606.ENSP00000231449, 9606.ENSP00000254436, 9606.ENSP00000259089, 9606.ENSP00000259206, 9606.ENSP00000263341, 9606.ENSP00000271450, 9606.ENSP00000281834, 9606.ENSP00000307959, 9606.ENSP00000324890, 9606.ENSP00000330959, 9606.ENSP00000338413, 9606.ENSP00000352798, 9606.ENSP00000356505, 9606.ENSP00000356946, 9606.ENSP00000358092, 9606.ENSP00000358501, 9606.ENSP00000364163, 9606.ENSP00000368632, 9606.ENSP00000369129, 9606.ENSP00000378786, 9606.ENSP00000398890, 9606.ENSP00000412237, 9606.ENSP00000415941, 9606.ENSP00000454623, 9606.ENSP00000481570","BLK, C4B, CD28, CD58, COL18A1, CYP27B1, DSP, DST, FCGR2A, FCGR3A, GATA3, HLA-DMB, HLA-DRA, IL10, IL1B, IL1R2, IL1RN, IL4, ITGAX, NCF2, NOTCH4, PRDM1, TNFAIP3, TNFSF4, TRIM21, UBA1"
Autoimmune disease of skin and connective tissue,"9606.ENSP00000215754, 9606.ENSP00000231449, 9606.ENSP00000263341, 9606.ENSP00000352798, 9606.ENSP00000398890, 9606.ENSP00000481570","COL18A1, HLA-DMB, IL1B, IL4, MIF, TNFAIP3"
Autoimmune disease of the nervous system,"9606.ENSP00000228606, 9606.ENSP00000263341, 9606.ENSP00000306157, 9606.ENSP00000339398, 9606.ENSP00000344786, 9606.ENSP00000353099, 9606.ENSP00000366091, 9606.ENSP00000386559, 9606.ENSP00000399168, 9606.ENSP00000412237, 9606.ENSP00000482169","CD8A, CYP27B1, HLA-B, HLA-DQA1, HLA-DRB1, IL10, IL1B, IL7R, MOG, NEFL, NFASC"
Bacterial infectious disease,"9606.ENSP00000228606, 9606.ENSP00000263341, 9606.ENSP00000366416, 9606.ENSP00000366525","CYP27B1, EDNRB, FTL, IL1B"
Blood coagulation disease,"9606.ENSP00000215727, 9606.ENSP00000264690, 9606.ENSP00000287239, 9606.ENSP00000289902, 9606.ENSP00000306099, 9606.ENSP00000308541, 9606.ENSP00000308782, 9606.ENSP00000321853, 9606.ENSP00000344782, 9606.ENSP00000356382, 9606.ENSP00000356771, 9606.ENSP00000366307, 9606.ENSP00000371067, 9606.ENSP00000377783, 9606.ENSP00000383382, 9606.ENSP00000384957, 9606.ENSP00000409126, 9606.ENSP00000415743, 9606.ENSP00000415941, 9606.ENSP00000493985, 9606.ENSP00000498441","ANO6, C4B, CD36, F11, F13B, F2, F5, FCER1G, FGA, FGB, GFI1B, GP1BB, GP6, JAK2, KAT6B, KLKB1, KNG1, PROS1, SERPIND1, SERPINF2, THBD"
Bone disease,"9606.ENSP00000001146, 9606.ENSP00000029410, 9606.ENSP00000215754, 9606.ENSP00000219070, 9606.ENSP00000219596, 9606.ENSP00000221930, 9606.ENSP00000225964, 9606.ENSP00000228606, 9606.ENSP00000231061, 9606.ENSP00000231449, 9606.ENSP00000239243, 9606.ENSP00000242261, 9606.ENSP00000246672, 9606.ENSP00000252744, 9606.ENSP00000256646, 9606.ENSP00000259089, 9606.ENSP00000261623, 9606.ENSP00000263341, 9606.ENSP00000267622, 9606.ENSP00000271450, 9606.ENSP00000280481, 9606.ENSP00000280551, 9606.ENSP00000282903, 9606.ENSP00000282928, 9606.ENSP00000284268, 9606.ENSP00000284987, 9606.ENSP00000285379, 9606.ENSP00000287020, 9606.ENSP00000297261, 9606.ENSP00000298556, 9606.ENSP00000300176, 9606.ENSP00000301030, 9606.ENSP00000305714, 9606.ENSP00000306496, 9606.ENSP00000311447, 9606.ENSP00000311833, 9606.ENSP00000312385, 9606.ENSP00000323696, 9606.ENSP00000323901, 9606.ENSP00000324890, 9606.ENSP00000325527, 9606.ENSP00000330959, 9606.ENSP00000337168, 9606.ENSP00000338272, 9606.ENSP00000339398, 9606.ENSP00000339824, 9606.ENSP00000344430, 9606.ENSP00000348215, 9606.ENSP00000348472, 9606.ENSP00000351777, 9606.ENSP00000352572, 9606.ENSP00000352798, 9606.ENSP00000353099, 9606.ENSP00000353720, 9606.ENSP00000354125, 9606.ENSP00000354504, 9606.ENSP00000356426, 9606.ENSP00000356505, 9606.ENSP00000358092, 9606.ENSP00000358501, 9606.ENSP00000361405, 9606.ENSP00000361834, 9606.ENSP00000363398, 9606.ENSP00000363973, 9606.ENSP00000365256, 9606.ENSP00000365402, 9606.ENSP00000367851, 9606.ENSP00000368104, 9606.ENSP00000368632, 9606.ENSP00000370047, 9606.ENSP00000370588, 9606.ENSP00000370990, 9606.ENSP00000371638, 9606.ENSP00000376475, 9606.ENSP00000378118, 9606.ENSP00000378757, 9606.ENSP00000379258, 9606.ENSP00000386380, 9606.ENSP00000387261, 9606.ENSP00000393312, 9606.ENSP00000393313, 9606.ENSP00000399168, 9606.ENSP00000405330, 9606.ENSP00000408146, 9606.ENSP00000409126, 9606.ENSP00000412237, 9606.ENSP00000416293, 9606.ENSP00000417610, 9606.ENSP00000420194, 9606.ENSP00000422554, 9606.ENSP00000440066, 9606.ENSP00000450540, 9606.ENSP00000457421, 9606.ENSP00000481570, 9606.ENSP00000482027, 9606.ENSP00000482313, 9606.ENSP00000497069, 9606.ENSP00000498116, 9606.ENSP00000498217","ADAMTS12, ADAMTS5, AGFG2, ALPL, ALX4, ANKH, ANKRD11, ANO6, ASPHD1, ASTN2, B4GALT7, BLK, BMP1, BMP2, BNC2, CA2, CASR, CCL8, CD28, CD58, CD99, CES1, CLCN5, COL18A1, COL1A1, COL9A2, CRTAP, CYBA, CYBB, CYP26B1, CYP27B1, DLX5, EIF3B, EPB41L1, EPS15L1, ESR1, EVX2, EXTL1, FBN1, FCGR2A, FGFR1, FGFR3, FREM2, FZD2, GATA3, GDF6, GLI3, HEY1, HLA-B, HLA-C, HLA-DPB1, HLA-DQA1, HLA-DRB1, HPRT1, IFITM10, IGF1R, IL10, IL1B, IL1R1, IL1R2, IL4, JCHAIN, MEFV, MIF, MMP2, MMP9, MSX2, NCF2, NOTCH2, NR1D1, NR4A3, PCNT, PECAM1, PLOD2, PRDM1, PRKAR1A, PSTPIP2, PXK, RAB23, RAB33B, RECQL4, SEC24D, SERPINA3, SH3PXD2A, SHH, SHOX, SLC16A9, SLC2A1, SLC37A2, SMARCA2, SPARC, TAB2, TGFB1, TNFAIP3, TRIP11, TWIST1, VCP, ZIC1, ZSWIM6"
Bone inflammation disease,"9606.ENSP00000215754, 9606.ENSP00000221930, 9606.ENSP00000225964, 9606.ENSP00000259089, 9606.ENSP00000263341, 9606.ENSP00000284268, 9606.ENSP00000284987, 9606.ENSP00000298556, 9606.ENSP00000311833, 9606.ENSP00000339398, 9606.ENSP00000348472, 9606.ENSP00000353099, 9606.ENSP00000358092, 9606.ENSP00000358501, 9606.ENSP00000363973, 9606.ENSP00000365402, 9606.ENSP00000378757, 9606.ENSP00000386380, 9606.ENSP00000387261, 9606.ENSP00000399168, 9606.ENSP00000408146, 9606.ENSP00000412237, 9606.ENSP00000481570","ADAMTS5, ALPL, ANKH, BLK, CD58, COL1A1, HLA-B, HLA-C, HLA-DPB1, HLA-DQA1, HLA-DRB1, HPRT1, IL10, IL1B, IL1R1, MIF, PRDM1, PSTPIP2, PXK, SLC16A9, SLC37A2, TGFB1, TNFAIP3"
Bone remodeling disease,"9606.ENSP00000228606, 9606.ENSP00000363973, 9606.ENSP00000420194","ALPL, CASR, CYP27B1"
Bone structure disease,"9606.ENSP00000219070, 9606.ENSP00000225964, 9606.ENSP00000228606, 9606.ENSP00000325527, 9606.ENSP00000361405, 9606.ENSP00000361834, 9606.ENSP00000368104, 9606.ENSP00000370047, 9606.ENSP00000497069","BMP2, BNC2, COL1A1, COL9A2, CYP27B1, FBN1, IGF1R, MMP2, MMP9"
